Generating SQLite file /root/llama_gguf/fa-logs/nsys-wterm-9b-d0.sqlite from /root/llama_gguf/fa-logs/nsys-wterm-9b-d0.nsys-rep
Processing [/root/llama_gguf/fa-logs/nsys-wterm-9b-d0.sqlite] with [/usr/local/cuda-12.9/nsight-systems-2025.1.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
      0.0          354,492         96      3,692.6      2,784.0      2,495      8,032      2,057.1  void unary_op_kernel<&op_sigmoid, float>(const T2 *, T2 *, int)                                     
      0.0          247,487         96      2,578.0      2,528.0      2,400      3,040        167.3  void unary_op_kernel<&op_softplus, float>(const T2 *, T2 *, int)                                    
      0.0            4,128          2      2,064.0      2,064.0      1,888      2,240        248.9  quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)             

Processing [/root/llama_gguf/fa-logs/nsys-wterm-9b-d0.sqlite] with [/usr/local/cuda-12.9/nsight-systems-2025.1.3/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 

 ** CUDA GPU MemOps Summary (by Time) (cuda_gpu_mem_time_sum):

 Time (%)  Total Time (ns)  Count   Avg (ns)    Med (ns)   Min (ns)   Max (ns)    StdDev (ns)            Operation          
 --------  ---------------  -----  -----------  ---------  --------  -----------  ------------  ----------------------------
     99.9    1,885,648,283    460  4,099,235.4   47,551.0       608  287,325,281  14,100,898.8  [CUDA memcpy Host-to-Device]
      0.0          602,938      2    301,469.0  301,469.0   300,637      302,301       1,176.6  [CUDA memcpy Device-to-Host]
      0.0          468,634    130      3,604.9    2,464.0       800      132,415      12,108.4  [CUDA memset]               

